goos: linux
goarch: amd64
pkg: github.com/yourusername/bolt/benchmarks
cpu: 11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz
BenchmarkFiber_DynamicRoute-8                	  107474	     10878 ns/op	    5757 B/op	      25 allocs/op
BenchmarkFiber_DynamicRoute-8                	  110558	     10964 ns/op	    5756 B/op	      25 allocs/op
BenchmarkFiber_DynamicRoute-8                	  111388	     11148 ns/op	    5751 B/op	      25 allocs/op
BenchmarkBolt_Middleware-8                   	1000000000	         0.3342 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_Middleware-8                   	1000000000	         0.3331 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_Middleware-8                   	1000000000	         0.3465 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_Middleware-8                   	1000000000	         0.3230 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_Middleware-8                   	1000000000	         0.3323 ns/op	       0 B/op	       0 allocs/op
BenchmarkGin_Middleware-8                    	 2675551	       415.7 ns/op	      32 B/op	       2 allocs/op
BenchmarkGin_Middleware-8                    	 2980524	       429.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkGin_Middleware-8                    	 2669520	       403.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkGin_Middleware-8                    	 2966550	       406.1 ns/op	      32 B/op	       2 allocs/op
BenchmarkGin_Middleware-8                    	 2933386	       412.4 ns/op	      32 B/op	       2 allocs/op
BenchmarkBolt_LargeJSON-8                    	1000000000	         0.3258 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_LargeJSON-8                    	1000000000	         0.2954 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_LargeJSON-8                    	1000000000	         0.3036 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_LargeJSON-8                    	1000000000	         0.3008 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_LargeJSON-8                    	1000000000	         0.3016 ns/op	       0 B/op	       0 allocs/op
BenchmarkGin_LargeJSON-8                     	    3837	    344293 ns/op	  123193 B/op	    2103 allocs/op
BenchmarkGin_LargeJSON-8                     	    3822	    351299 ns/op	  123144 B/op	    2103 allocs/op
BenchmarkGin_LargeJSON-8                     	    3064	    374008 ns/op	  123165 B/op	    2103 allocs/op
BenchmarkGin_LargeJSON-8                     	    3486	    346441 ns/op	  123135 B/op	    2103 allocs/op
BenchmarkGin_LargeJSON-8                     	    3339	    357211 ns/op	  123057 B/op	    2103 allocs/op
BenchmarkBolt_QueryParams-8                  	1000000000	         0.2902 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_QueryParams-8                  	1000000000	         0.2885 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_QueryParams-8                  	1000000000	         0.3142 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_QueryParams-8                  	1000000000	         0.2856 ns/op	       0 B/op	       0 allocs/op
BenchmarkBolt_QueryParams-8                  	1000000000	         0.2889 ns/op	       0 B/op	       0 allocs/op
